39.net,2.3728,0.9579
adexchangeperformance.com,0.0444,0.0689
youm7.com,0.0258,0.4545
google.ie,0.0571,0.0954
zipnoticias.com,0.0318,0.0712
dingit.tv,0.0571,0.1247
foxnews.com,0.0359,0.0610
google.dk,0.0580,0.0947
popcash.net,0.0356,0.0804
google.dz,0.0617,0.0971
google.hu,0.0582,0.0969
google.fi,0.0592,0.0960
blackboard.com,0.5267,0.5899
gostream.is,0.2446,0.2658
ltn.com.tw,0.0387,0.0718
google.co.il,0.0582,0.0962
bestbuy.com,0.0197,0.0410
1337x.to,0.1985,0.1798
ntd.tv,0.1183,0.1869
google.sk,0.0578,0.0964
ign.com,0.0490,0.1333
setn.com,0.6577,0.7087
buzzadnetwork.com,0.0766,0.1536
ouo.io,0.1271,0.1680
google.kz,0.0565,0.0970
sciencedirect.com,0.2417,0.2728
orange.fr,0.2135,0.4370
kissanime.ru,0.0110,0.0314
albawabhnews.com,0.1925,0.3199
udemy.com,0.0374,0.0595
google.com.kw,0.0575,0.1050
hdfcbank.com,0.0123,0.0486
dmm.co.jp,0.4612,0.8281
ensonhaber.com,0.5346,0.5209
youdao.com,0.5573,0.9724
siteadvisor.com,0.1514,0.2947
google.co.nz,0.0592,0.0951
theverge.com,0.0189,0.0444
cricbuzz.com,0.0994,0.0508
mit.edu,0.0213,0.0973
doublepimpssl.com,0.1173,0.1496
fedex.com,0.0724,0.0931
eskimi.com,0.2987,0.6047
google.lk,0.0584,0.1132
kooora.com,0.0460,0.0446
elmundo.es,0.4834,0.7965
fwbntw.com,0.1803,0.3698
patreon.com,0.6200,0.6980
banggood.com,0.1400,0.1170
marca.com,0.4890,0.8039
digitalprivacyalert.org,0.1521,0.2409
addthis.com,0.0688,0.0785
epochtimes.com,0.0667,0.0744
wattpad.com,0.0695,0.0832
google.bg,0.0619,0.0954
sex.com,0.2033,0.2652
thefreedictionary.com,0.1278,0.1970
velocecdn.com,0.2002,0.2000
google.com.do,0.0682,0.0944
chegg.com,0.1878,0.3295
tutorialspoint.com,0.0214,0.0434
billdesk.com,0.7639,1.3487
google.by,0.0586,0.0954
givemesport.com,0.0795,0.1239
perfecttoolmedia.com,0.0706,0.0972
ebc.net.tw,0.3297,0.1548
cerpen.co.id,0.9027,0.8622
hurriyet.com.tr,0.0272,0.0549
utorrent.com,0.0467,0.0842
google.com.ly,0.0577,0.0981
reimageplus.com,0.0875,0.1662
google.com.mm,0.0583,0.0963
adexchangecloud.com,0.0736,0.1574
almasryalyoum.com,0.4927,0.3840
